100
0,1,4
1,2,10
2,3,3
3,4,1
4,5,4
5,6,2
6,7,3
7,8,8
8,9,10
9,10,0
10,11,7
11,12,2
12,13,10
13,14,6
14,15,8
15,16,2
16,17,3
17,18,5
18,19,9
19,20,5
20,21,1
21,22,5
22,23,1
23,24,5
24,25,9
25,26,2
26,27,4
27,28,3
28,29,2
29,30,6
30,31,8
31,32,8
32,33,2
33,34,7
34,35,8
35,36,5
36,37,2
37,38,7
38,39,8
39,40,8
40,41,0
41,42,3
42,43,2
43,44,10
44,45,0
45,46,2
46,47,6
47,48,8
48,49,1
49,50,5
50,51,10
51,52,5
52,53,3
53,54,2
54,55,9
55,56,8
56,57,3
57,58,5
58,59,2
59,60,4
60,61,7
61,62,8
62,63,3
63,64,3
64,65,7
65,66,4
66,67,6
67,68,7
68,69,4
69,70,1
70,71,7
71,72,10
72,73,9
73,74,2
74,75,9
75,76,4
76,77,1
77,78,4
78,79,1
79,80,4
80,81,4
81,82,2
82,83,9
83,84,2
84,85,4
85,86,2
86,87,0
87,88,9
88,89,7
89,90,6
90,91,8
91,92,9
92,93,7
93,94,4
94,95,1
95,96,0
96,97,2
97,98,3
98,99,1
